Occupational Category,Total_FullTime_Workers_Estimate,Total_FullTime_Workers_MOE3,Men_FullTime_Workers,Men_FullTime_Workers_MOE3,Women_FullTime_Workers,Women_FullTime_Workers_MOE3,Women_Percentage_in_Group_Estimate,Women_Percentage_in_Group_MOE3,Total_Median_Earnings_Estimate,Total_Median_Earnings_MOE3,Men_Median_Earnings_Estimate,Men_Median_Earnings_MOE3,Women_Median_Earnings_Estimate,Women_Median_Earnings_MOE3,Women_Earnings_as_Percentage_of_Men_Estimate,Women_Earnings_as_Percentage_of_Men_MOE3,Year
Insulation workers,38194,3664.0,37598,3700.0,596,446.0,1.6,1.2,50958,1388,51025,1403,46189,19977,(X),(X),2021
Painters and paperhangers,333769,10976.0,311599,10735.0,22170,2917.0,6.6,0.8,37248,724,37846,1099,31077,970,82.1,3.5,2021
Pipelayers,39094,4100.0,38605,4075.0,489,464.0,1.3,1.2,43830,2229,43778,2213,73848,61838,(X),(X),2021
"Plumbers, pipefitters, and steamfitters",465305,13002.0,456655,13245.0,8650,1464.0,1.9,0.3,51703,483,51668,476,58257,14264,(X),(X),2021
Plasterers and stucco masons,16200,3007.0,16145,3003.0,55,71.0,0.3,0.4,37680,5016,37556,5091,-,**,(X),(X),2021
Reinforcing iron and rebar workers,3227,1164.0,2943,1098.0,284,281.0,8.8,8.1,40622,24540,31320,22959,"250,000+",***,(X),(X),2021
Roofers,139496,8384.0,137715,8305.0,1781,793.0,1.3,0.6,38911,2207,39049,2194,31141,7753,(X),(X),2021
Sheet metal workers,98759,6956.0,94416,6533.0,4343,1300.0,4.4,1.3,49093,3083,49755,3155,42319,9408,(X),(X),2021
Structural iron and steel workers,45747,3430.0,45270,3428.0,477,302.0,1.0,0.7,55523,2914,55630,2689,46148,11236,(X),(X),2021
Solar photovoltaic installers,12250,2670.0,12158,2667.0,92,123.0,0.8,1.0,50465,2121,50424,2403,-,**,(X),(X),2021
"Helpers, construction trades",29299,3357.0,27483,3191.0,1816,970.0,6.2,3.2,33018,3513,32385,2596,43750,10794,(X),(X),2021
Construction and building inspectors,82535,5953.0,73596,5601.0,8939,1909.0,10.8,2.2,63801,2759,64396,4021,61629,7451,95.7,13,2021
Elevator and escalator installers and repairers,27843,3883.0,27343,3803.0,500,379.0,1.8,1.3,92827,8419,93271,8791,59667,60774,(X),(X),2021
Fence erectors,23001,3109.0,22071,2935.0,930,926.0,4.0,4.0,35792,4625,34617,4766,70745,25003,(X),(X),2021
Hazardous materials removal workers,18523,2721.0,13564,2401.0,4959,1685.0,26.8,8.2,45507,6281,50660,4587,33003,7994,(X),(X),2021
Highway maintenance workers,72739,4800.0,70583,4553.0,2156,984.0,3.0,1.3,44679,1610,44847,1516,41963,3657,(X),(X),2021
Rail-track laying and maintenance equipment operators,7663,1477.0,7100,1446.0,563,405.0,7.3,5.1,60070,13506,53676,11788,61497,599,(X),(X),2021
Septic tank servicers and sewer pipe cleaners,7894,1690.0,7857,1688.0,37,63.0,0.5,0.8,46278,8612,46358,8641,-,**,(X),(X),2021
Miscellaneous construction and related workers,24306,3614.0,23663,3596.0,643,391.0,2.6,1.6,42207,3617,42161,3446,45457,11983,(X),(X),2021
"Derrick, rotary drill, and service unit operators, oil and gas",11626,2076.0,11364,2071.0,262,330.0,2.3,2.8,64429,7437,64741,7981,-,**,(X),(X),2021
"Excavating and loading machine and dragline operators, surface mining",6818,1598.0,6783,1601.0,35,58.0,0.5,0.8,58423,8211,58486,8187,-,**,(X),(X),2021
"Earth drillers, except oil and gas",18283,2669.0,17602,2537.0,681,552.0,3.7,3.0,51650,3549,52220,5434,31615,5968,(X),(X),2021
"Explosives workers, ordnance handling experts, and blasters",6008,1303.0,5540,1263.0,468,430.0,7.8,7.0,62678,7744,64257,12044,36859,6177,(X),(X),2021
Underground mining machine operators,34203,3579.0,33124,3648.0,1079,624.0,3.2,1.8,71708,2166,71883,2196,63807,24768,(X),(X),2021
"Roustabouts, oil and gas",4346,1445.0,4340,1445.0,6,11.0,0.1,0.2,51992,13230,52007,13227,-,**,(X),(X),2021
Other extraction workers,37754,4348.0,37401,4343.0,353,209.0,0.9,0.5,56504,7969,56551,7968,45288,38080,(X),(X),2021
"Installation, Maintenance, and Repair Occupations:",3993828,31334.0,3857273,31413.0,136555,7705.0,3.4,0.2,52167,142,52346,144,43061,2073,82.3,4,2021
"First-line supervisors of mechanics, installers, and repairers",217498,9798.0,201943,8898.0,15555,2323.0,7.2,1.0,69147,2069,70031,1777,57057,11560,81.5,16.6,2021
"Computer, automated teller, and office machine repairers",117808,7190.0,105882,6839.0,11926,1756.0,10.1,1.4,50323,1205,50696,1020,43655,3056,86.1,6.3,2021
Radio and telecommunications equipment installers and repairers,128838,7503.0,119055,6999.0,9783,1814.0,7.6,1.3,59459,2230,60345,1908,51664,5293,85.6,9.2,2021
Avionics technicians,13455,2334.0,11756,2029.0,1699,863.0,12.6,6.0,70016,4489,73120,6975,61492,10054,(X),(X),2021
"Electric motor, power tool, and related repairers",20001,2874.0,19354,2931.0,647,434.0,3.2,2.1,52767,4406,53737,4595,36543,15236,(X),(X),2021
"Electrical and electronics installers and repairers, transportation equipment",866,538.0,697,497.0,169,194.0,19.5,18.8,42446,66454,40175,42185,-,**,(X),(X),2021
"Electrical and electronics repairers, industrial and utility",12854,2279.0,12163,2168.0,691,380.0,5.4,2.8,78977,4606,79881,6343,47475,58995,(X),(X),2021
"Electronic equipment installers and repairers, motor vehicles",4545,1107.0,4502,1113.0,43,69.0,0.9,1.5,40714,6624,40880,6353,-,**,(X),(X),2021
Audiovisual equipment installers and repairers,32980,3388.0,30838,3217.0,2142,948.0,6.5,2.8,49700,2307,50118,2277,46250,5090,(X),(X),2021
Security and fire alarm systems installers,48196,4407.0,47214,4468.0,982,509.0,2.0,1.0,51012,1074,51237,1042,34913,14032,(X),(X),2021
Aircraft mechanics and service technicians,138159,7580.0,132416,7109.0,5743,1430.0,4.2,1.0,70247,1830,70631,1369,60315,4713,(X),(X),2021
Automotive body and related repairers,104072,6515.0,102308,6569.0,1764,769.0,1.7,0.7,45302,2479,45663,2149,36710,1978,(X),(X),2021
Automotive glass installers and repairers,14802,2431.0,14314,2321.0,488,413.0,3.3,2.7,44209,5249,43640,4685,70714,38062,(X),(X),2021
Automotive service technicians and mechanics,683170,15528.0,672420,15433.0,10750,1930.0,1.6,0.3,44015,963,44353,979,34981,4132,78.9,9.5,2021
Bus and truck mechanics and diesel engine specialists,277491,9264.0,274230,9076.0,3261,1019.0,1.2,0.4,52506,925,52563,964,46767,12029,(X),(X),2021
Heavy vehicle and mobile equipment service technicians and mechanics,190639,8313.0,188672,8388.0,1967,919.0,1.0,0.5,60747,905,60788,912,52235,13039,(X),(X),2021
Small engine mechanics,37575,3499.0,37091,3441.0,484,420.0,1.3,1.1,40203,2318,40276,2192,34235,47983,(X),(X),2021
"Miscellaneous vehicle and mobile equipment mechanics, installers, and repairers",57401,4779.0,56272,4642.0,1129,670.0,2.0,1.2,35433,1927,35355,2003,36988,4954,(X),(X),2021
Control and valve installers and repairers,21784,2597.0,21534,2577.0,250,194.0,1.1,0.9,56777,10647,56758,10516,67708,66980,(X),(X),2021
"Heating, air conditioning, and refrigeration mechanics and installers",352550,11888.0,347256,11754.0,5294,1338.0,1.5,0.4,51613,451,51671,449,41299,7842,(X),(X),2021
Home appliance repairers,26073,3156.0,24603,3019.0,1470,1036.0,5.6,3.9,42352,3712,43313,5052,32433,9712,(X),(X),2021
Industrial and refractory machinery mechanics,327811,10963.0,319320,10485.0,8491,1751.0,2.6,0.5,60350,801,60638,736,49832,7222,82.2,12,2021
"Maintenance and repair workers, general",630032,13376.0,604649,13219.0,25383,3223.0,4.0,0.5,50643,334,50900,317,38324,3007,75.3,5.9,2021
"Maintenance workers, machinery",18028,2851.0,17515,2687.0,513,546.0,2.8,3.0,53233,5925,55083,6185,51189,1284,(X),(X),2021
Millwrights,42096,3475.0,41530,3422.0,566,365.0,1.3,0.9,71101,3160,71140,3104,53904,58103,(X),(X),2021
Electrical power-line installers and repairers,113935,6891.0,112512,6771.0,1423,650.0,1.2,0.6,84811,3537,85368,3554,44414,10161,(X),(X),2021
Telecommunications line installers and repairers,100409,6280.0,96216,6205.0,4193,1245.0,4.2,1.2,63341,2886,64534,2918,43306,8342,(X),(X),2021
Precision instrument and equipment repairers,46283,3879.0,41876,3747.0,4407,967.0,9.5,1.9,60463,2536,61284,2609,50935,6549,(X),(X),2021
Wind turbine service technicians,5038,1485.0,4913,1415.0,125,201.0,2.5,3.9,73017,4289,73354,5557,-,**,(X),(X),2021
"Coin, vending, and amusement machine servicers and repairers",20243,2702.0,18477,2576.0,1766,660.0,8.7,3.0,40449,2784,40683,2425,32663,12724,(X),(X),2021
Commercial divers,4154,1665.0,4068,1652.0,86,133.0,2.1,3.1,48512,22034,48827,20801,-,**,(X),(X),2021
Locksmiths and safe repairers,21580,3259.0,19830,3035.0,1750,845.0,8.1,3.7,46260,2941,47236,5797,31127,2759,(X),(X),2021
Manufactured building and mobile home installers,3332,982.0,2923,953.0,409,327.0,12.3,9.1,41506,4939,41658,4703,37432,52958,(X),(X),2021
Riggers,7566,1933.0,7358,1919.0,208,206.0,2.7,2.6,55205,9585,53421,11548,55959,30474,(X),(X),2021
"Helpers--installation, maintenance, and repair workers",11824,2065.0,9394,1927.0,2430,1109.0,20.6,8.7,30274,3780,30416,2939,28333,15178,(X),(X),2021
"Other installation, maintenance, and repair workers",140740,6739.0,132172,6147.0,8568,1881.0,6.1,1.3,44159,2035,44889,1846,32460,10106,72.3,22.7,2021
"Production, Transportation, and Material Moving Occupations:",14230799,73566.0,11140289,62323.0,3090510,29943.0,21.7,0.2,41087,90,43975,270,32332,122,73.5,0.5,2021
Production Occupations:,6513044,41183.0,4803799,35653.0,1709245,23359.0,26.2,0.3,42199,129,46794,195,34003,350,72.7,0.8,2021
First-line supervisors of production and operating workers,680273,17446.0,531749,14667.0,148524,7135.0,21.8,0.9,60873,753,64402,909,45515,1411,70.7,2.4,2021
"Aircraft structure, surfaces, rigging, and systems assemblers",3539,1375.0,2209,900.0,1330,884.0,37.6,20.3,50807,11208,58821,4775,31560,8096,(X),(X),2021
"Electrical, electronics, and electromechanical assemblers",91847,5557.0,48935,4003.0,42912,3801.0,46.7,3.0,36782,752,40675,982,33706,1792,82.9,4.8,2021
Engine and other machine assemblers,10388,1678.0,8391,1434.0,1997,908.0,19.2,8.2,48872,3387,50351,3353,46535,3262,(X),(X),2021
Structural metal fabricators and fitters,23218,2924.0,21258,2649.0,1960,786.0,8.4,3.2,51060,1427,51507,1319,30842,14108,(X),(X),2021
Other assemblers and fabricators,700586,16309.0,443752,11938.0,256834,10604.0,36.7,1.3,36600,297,39217,722,32982,624,84.1,2.2,2021
Bakers,121930,7228.0,57906,4682.0,64024,5034.0,52.5,2.7,31459,551,33425,1709,30431,692,91,5.1,2021
"Butchers and other meat, poultry, and fish processing workers",191575,9148.0,154251,7056.0,37324,4122.0,19.5,1.9,36728,717,38622,1497,31810,1115,82.4,4.3,2021
"Food and tobacco roasting, baking, and drying machine operators and tenders",8166,1678.0,7084,1648.0,1082,603.0,13.3,6.9,43076,3743,43911,3540,31909,14413,(X),(X),2021
Food batchmakers,61565,4581.0,29361,3317.0,32204,3509.0,52.3,4.2,35177,1625,41840,1928,31357,912,74.9,4.1,2021
Food cooking machine operators and tenders,5824,1451.0,3983,1311.0,1841,695.0,31.6,9.0,30983,2381,30352,4472,31998,5880,(X),(X),2021
"Food processing workers, all other",121205,6600.0,78234,5046.0,42971,4171.0,35.5,2.8,40082,992,41780,746,34963,1368,83.7,3.6,2021
Computer numerically controlled tool operators and programmers,76122,4394.0,69599,4505.0,6523,1276.0,8.6,1.6,49226,1841,50195,1162,39128,2979,78,6.2,2021
"Forming machine setters, operators, and tenders, metal and plastic",26733,2406.0,22578,2210.0,4155,1038.0,15.5,3.6,43929,4867,44589,4992,41204,8470,(X),(X),2021
"Cutting, punching, and press machine setters, operators, and tenders, metal and plastic",57960,4594.0,47457,4540.0,10503,1784.0,18.1,2.7,37841,1694,39410,2309,35605,1254,90.3,6.2,2021
"Grinding, lapping, polishing, and buffing machine tool setters, operators, and tenders, metal and plastic",28691,3190.0,24476,2973.0,4215,1370.0,14.7,4.5,40234,1325,40965,890,34604,5558,(X),(X),2021
"Other machine tool setters, operators, and tenders, metal and plastic",7849,1655.0,6533,1425.0,1316,754.0,16.8,8.9,46300,5702,46456,5482,42055,33446,(X),(X),2021
Machinists,302403,10803.0,292173,10666.0,10230,1726.0,3.4,0.6,52074,411,52275,444,39034,5132,74.7,9.8,2021
"Metal furnace operators, tenders, pourers, and casters",15225,2272.0,13430,2026.0,1795,1100.0,11.8,7.0,51969,7567,54647,5240,35235,5221,(X),(X),2021
"Model makers and patternmakers, metal and plastic",3661,953.0,2933,779.0,728,510.0,19.9,12.9,63106,10671,73197,12153,48860,5004,(X),(X),2021
"Molders and molding machine setters, operators, and tenders, metal and plastic",26351,2820.0,21587,2670.0,4764,1030.0,18.1,3.4,39906,2465,42677,2532,30761,2023,(X),(X),2021
Tool and die makers,46115,3901.0,45153,3925.0,962,526.0,2.1,1.1,61235,1226,61419,1180,30011,9807,(X),(X),2021
"Welding, soldering, and brazing workers",463592,12677.0,442090,12466.0,21502,2496.0,4.6,0.5,45893,568,46487,564,35104,2829,75.5,6.2,2021
Other metal workers and plastic workers,321529,11637.0,256737,10365.0,64792,4623.0,20.2,1.2,41133,475,42702,974,35530,884,83.2,2.8,2021
Prepress technicians and workers,14955,2359.0,9938,2129.0,5017,1245.0,33.5,6.4,41370,1778,46164,5618,31618,2551,(X),(X),2021
Printing press operators,111644,7056.0,86988,5754.0,24656,3491.0,22.1,2.8,41226,833,43017,1551,34313,2158,79.8,5.8,2021
Print binding and finishing workers,10067,1936.0,6153,1498.0,3914,1281.0,38.9,10.3,40806,6282,49758,5726,31649,6600,(X),(X),2021
Laundry and dry-cleaning workers,70997,4693.0,23808,3052.0,47189,4243.0,66.5,4.1,27015,858,30776,1765,26198,711,85.1,5.4,2021
"Pressers, textile, garment, and related materials",13747,2267.0,8060,1498.0,5687,1536.0,41.4,8.8,33010,3837,36425,6250,26437,5850,(X),(X),2021
Sewing machine operators,83054,4870.0,24344,2786.0,58710,4297.0,70.7,3.1,29839,1396,31333,1077,28134,1964,89.8,7,2021
Shoe and leather workers,6583,1286.0,5123,1034.0,1460,671.0,22.2,9.2,35837,6039,40287,5305,30083,15800,(X),(X),2021
"Tailors, dressmakers, and sewers",27356,3416.0,8830,1504.0,18526,2808.0,67.7,5.8,29096,1653,32278,6964,28165,1694,87.3,19.5,2021
"Textile machine setters, operators, and tenders",15988,2482.0,7379,1581.0,8609,1851.0,53.8,8.0,30060,2859,28152,5006,30388,2419,(X),(X),2021
Upholsterers,17071,2745.0,13899,2423.0,3172,998.0,18.6,5.0,36009,2598,36846,2946,33211,5723,(X),(X),2021
"Other textile, apparel, and furnishings workers",11916,2254.0,6740,1785.0,5176,1378.0,43.4,8.1,37204,3724,41049,2313,31024,7055,(X),(X),2021
Cabinetmakers and bench carpenters,36469,3402.0,34972,3515.0,1497,627.0,4.1,1.7,41543,1265,41886,1398,22403,13150,(X),(X),2021
Furniture finishers,7935,1561.0,6311,1344.0,1624,768.0,20.5,8.8,35764,1868,37184,3769,21704,5717,(X),(X),2021
"Sawing machine setters, operators, and tenders, wood",21181,2766.0,18496,2547.0,2685,1080.0,12.7,4.8,37552,2941,38500,4135,36236,2695,(X),(X),2021
"Woodworking machine setters, operators, and tenders, except sawing",10773,1656.0,8120,1530.0,2653,738.0,24.6,5.7,37916,4655,41407,2082,28406,5657,(X),(X),2021
Other woodworkers,17591,2365.0,15989,2224.0,1602,640.0,9.1,3.4,39043,4123,40028,4024,29208,16650,(X),(X),2021
"Power plant operators, distributors, and dispatchers",41209,3778.0,39411,3684.0,1798,663.0,4.4,1.6,102891,1729,103344,1445,65905,24000,(X),(X),2021
Stationary engineers and boiler operators,88042,6177.0,84790,6103.0,3252,1029.0,3.7,1.1,69405,2355,69654,2511,63750,13021,(X),(X),2021
Water and wastewater treatment plant and system operators,91226,5113.0,86094,4845.0,5132,1525.0,5.6,1.6,56446,1445,56586,1400,53269,8276,(X),(X),2021
Miscellaneous plant and system operators,35673,3497.0,34170,3483.0,1503,678.0,4.2,1.9,71178,5110,71488,5408,58189,29455,(X),(X),2021
"Chemical processing machine setters, operators, and tenders",59730,4687.0,52571,4005.0,7159,1977.0,12.0,3.2,57253,3640,59408,3803,38236,14038,(X),(X),2021
"Crushing, grinding, polishing, mixing, and blending workers",65192,4553.0,58375,3972.0,6817,1508.0,10.5,2.2,42736,2749,44618,2532,31880,2394,(X),(X),2021
Cutting workers,40478,3619.0,30513,3471.0,9965,1771.0,24.6,3.8,36999,2428,39235,2542,31340,1904,79.9,7.1,2021
"Extruding, forming, pressing, and compacting machine setters, operators, and tenders",19817,2892.0,15383,2393.0,4434,1230.0,22.4,5.3,39526,3687,40742,1190,32200,3413,(X),(X),2021
"Furnace, kiln, oven, drier, and kettle operators and tenders",8079,1533.0,6879,1325.0,1200,659.0,14.9,7.7,45607,6083,50587,8789,35596,13688,(X),(X),2021
"Inspectors, testers, sorters, samplers, and weighers",660266,17535.0,417208,13390.0,243058,9389.0,36.8,1.0,47045,651,53066,1324,37466,887,70.6,2.4,2021
Jewelers and precious stone and metal workers,26900,3043.0,16139,2361.0,10761,1732.0,40.0,4.6,46700,4022,49903,3086,41093,4747,82.3,10.8,2021
Dental and ophthalmic laboratory technicians and medical appliance technicians,55519,4860.0,24964,3401.0,30555,3466.0,55.0,4.0,39249,2148,51611,2306,35406,1758,68.6,4.6,2021
Packaging and filling machine operators and tenders,194284,8460.0,88902,5034.0,105382,6708.0,54.2,2.5,33493,1008,38073,1603,31220,530,82,3.7,2021
Painting workers,114288,6807.0,104235,6363.0,10053,1658.0,8.8,1.4,42027,869,42313,1646,35279,2869,83.4,7.5,2021
Photographic process workers and processing machine operators,24554,2979.0,17437,2419.0,7117,1624.0,29.0,5.6,71559,8726,75319,7231,50975,11681,(X),(X),2021
Adhesive bonding machine operators and tenders,7917,1871.0,4722,1502.0,3195,1015.0,40.4,8.6,42228,3095,48941,4434,40471,4276,(X),(X),2021
Etchers and engravers,6385,1493.0,3917,1034.0,2468,989.0,38.7,12.6,42035,7392,42083,14921,41996,7299,(X),(X),2021
"Molders, shapers, and casters, except metal and plastic",20650,2460.0,18385,2412.0,2265,781.0,11.0,3.5,39649,3028,40024,2871,30033,15969,(X),(X),2021
"Paper goods machine setters, operators, and tenders",15052,1954.0,10466,1517.0,4586,1214.0,30.5,7.0,49453,11522,54187,4560,31916,5876,(X),(X),2021
Tire builders,12500,1927.0,11479,1878.0,1021,557.0,8.2,4.3,46571,4894,47861,5307,43099,2360,(X),(X),2021
Helpers--production workers,36383,3600.0,25747,2933.0,10636,2196.0,29.2,5.3,30824,1073,31344,1146,27475,5926,87.7,19.2,2021
Other production equipment operators and tenders,6991,1513.0,5983,1472.0,1008,527.0,14.4,6.9,35810,3924,36674,11180,31623,6457,(X),(X),2021
Other production workers,1008235,22707.0,729020,18449.0,279215,10417.0,27.7,0.8,39973,573,42355,438,32570,794,76.9,2,2021
Transportation and Material Moving Occupations:,7717755,57401.0,6336490,52412.0,1381265,21357.0,17.9,0.3,40104,128,41748,135,31204,174,74.7,0.5,2021
Transportation Occupations:,3924770,40900.0,3496398,38624.0,428372,14384.0,10.9,0.3,50033,256,50848,159,36219,741,71.2,1.5,2021
Supervisors of transportation and material moving workers,250906,10248.0,186548,8526.0,64358,5049.0,25.7,1.7,52083,844,54946,1500,42133,2049,76.7,4.3,2021
Aircraft pilots and flight engineers,105157,7185.0,98806,6715.0,6351,1919.0,6.0,1.8,124279,6084,126654,8494,66683,26474,(X),(X),2021
Air traffic controllers and airfield operations specialists,34500,4246.0,27458,3828.0,7042,1822.0,20.4,4.6,101900,5894,103215,3875,84347,19866,(X),(X),2021
Flight attendants,44824,4930.0,12491,2310.0,32333,4107.0,72.1,4.6,52462,7450,57217,7255,51670,5279,90.3,14.7,2021
"Ambulance drivers and attendants, except emergency medical technicians",6587,1700.0,4889,1364.0,1698,1056.0,25.8,14.6,30437,2229,30790,2262,24877,12680,(X),(X),2021
"Bus drivers, school",91110,6030.0,40985,4272.0,50125,3923.0,55.0,2.3,31488,803,35281,1879,29823,1501,84.5,6.2,2021
"Bus drivers, transit and intercity",136931,7529.0,93430,6576.0,43501,4097.0,31.8,2.4,47359,1771,51316,789,40072,2397,78.1,4.8,2021
Driver/sales workers and truck drivers,2688943,34437.0,2544011,32453.0,144932,7699.0,5.4,0.3,50237,187,50665,178,32433,1094,64,2.2,2021
Shuttle drivers and chauffeurs,31207,3301.0,25742,3219.0,5465,1311.0,17.5,3.8,35089,2150,36442,3009,27868,5766,(X),(X),2021
Taxi drivers,165505,8563.0,144580,7508.0,20925,3292.0,12.6,1.9,35732,828,36445,860,28349,4100,77.8,11.4,2021
"Motor vehicle operators, all other",67612,5059.0,55819,4383.0,11793,2044.0,17.4,2.7,35995,1612,37831,2082,30188,3258,79.8,9.7,2021
Locomotive engineers and operators,32394,3395.0,30388,3261.0,2006,1018.0,6.2,3.1,91619,3728,94520,4736,56677,14766,(X),(X),2021
Railroad conductors and yardmasters,36130,4035.0,33279,3817.0,2851,1003.0,7.9,2.6,77227,4641,77636,5600,76197,4075,(X),(X),2021
Other rail transportation workers,18013,2674.0,15338,2274.0,2675,1193.0,14.9,6.2,72996,5226,74410,9236,71520,18248,(X),(X),2021
Sailors and marine oilers,18365,2394.0,17746,2454.0,619,430.0,3.4,2.3,51397,8674,52056,9659,36382,4187,(X),(X),2021
Ship and boat captains and operators,27748,3121.0,25820,3168.0,1928,825.0,6.9,2.9,75963,6234,78163,6659,39260,10933,(X),(X),2021
Ship engineers,3754,1146.0,3533,1109.0,221,241.0,5.9,6.2,88317,40182,89665,40796,41653,66203,(X),(X),2021
Parking attendants,26867,3342.0,24251,3375.0,2616,955.0,9.7,3.3,28328,2329,28696,2608,26605,4234,(X),(X),2021
Transportation service attendants,59009,4632.0,51706,4318.0,7303,1678.0,12.4,2.7,30602,1193,30968,1263,24959,3979,(X),(X),2021
Transportation inspectors,32020,3084.0,28666,2843.0,3354,1247.0,10.5,3.8,65957,6396,68108,6001,52332,12703,(X),(X),2021
